테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
10,User_S,Hyunse0001,general,今月末まで塾に通って辞めたいです。退会手続きの案内をお願いします。,200,3.14の退会手続きについて、ご案内させていただきます。,退会をご希望の場合は、退会希望月の前月10日までに、通塾中の教室へ退会届のご提出が必要となります。例えば今月末での退会をご希望の場合、すでに期限を過ぎておりますので、来月末の退会となりますことをご了承ください。,具体的な手続きについては、通塾中の教室のスタッフにお問い合わせいただくか、お電話（011-707-2423、受付時間：10:00～18:00 土日祝除く）にてご相談ください。スタッフが丁寧にご案内させていただきます。,5646,성공,,2025-07-27T13:50:13.350Z,"[{""type"":""main"",""text"":""3.14の退会手続きについて、ご案内させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""退会をご希望の場合は、退会希望月の前月10日までに、通塾中の教室へ退会届のご提出が必要となります。例えば今月末での退会をご希望の場合、すでに期限を過ぎておりますので、来月末の退会となりますことをご了承ください。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な手続きについては、通塾中の教室のスタッフにお問い合わせいただくか、お電話（011-707-2423、受付時間：10:00～18:00 土日祝除く）にてご相談ください。スタッフが丁寧にご案内させていただきます。"",""attachment"":null}]"
11,User_S,Hyunse0001,general,授業料が毎月自動引き落としされているのですが、今月末まで授業を受けて退会したく、自動引き落としも停止していただくことをお願いします。,200,3.14では、退会に関するお手続きは通っている教室での直接のお手続きが必要となります。退会月の前月末までにお申し出いただく必要がございます。,,お手数ですが、通塾されている教室のスタッフまでご相談ください。退会手続きと共に、自動引き落としの停止手続きについてもご案内させていただきます。,3754,성공,,2025-07-27T13:50:18.106Z,"[{""type"":""main"",""text"":""3.14では、退会に関するお手続きは通っている教室での直接のお手続きが必要となります。退会月の前月末までにお申し出いただく必要がございます。"",""attachment"":null},{""type"":""cta"",""text"":""お手数ですが、通塾されている教室のスタッフまでご相談ください。退会手続きと共に、自動引き落としの停止手続きについてもご案内させていただきます。"",""attachment"":null}]"
12,User_S,Hyunse0001,general,進学先の学校が決まったので、来月まで授業を受けて退会したいです。,200,3.14では、生徒様の進路決定を心よりお祝い申し上げます。退会に関するご相談は、通われている校舎の担任の先生に直接お申し出いただくのがベストです。,,具体的なお手続きやスケジュールについて詳しくご説明させていただきたいので、通われている校舎をお教えいただけますでしょうか？校舎名をお知らせいただければ、より詳しい情報をご案内させていただきます。,4533,성공,,2025-07-27T13:50:23.643Z,"[{""type"":""main"",""text"":""3.14では、生徒様の進路決定を心よりお祝い申し上げます。退会に関するご相談は、通われている校舎の担任の先生に直接お申し出いただくのがベストです。"",""attachment"":null},{""type"":""cta"",""text"":""具体的なお手続きやスケジュールについて詳しくご説明させていただきたいので、通われている校舎をお教えいただけますでしょうか？校舎名をお知らせいただければ、より詳しい情報をご案内させていただきます。"",""attachment"":null}]"
13-1,User_S,Hyunse0001,general,入院することになったのですが、受講を停止してから後でまた再開することはできますか？,200,3.14では、入院などのやむを得ない事情による一時的な受講停止に柔軟に対応しており、回復後の学習再開もスムーズに行えるシステムを整えています。,🏥 休会・復会について・入院による休会は可能（事前連絡が必要）・休会中は授業料が発生しません・復会時期は体調に合わせて相談可能・休会前の学習状況を考慮して復会後のカリキュラムを調整,ご回復後の学習再開についても安心してご相談ください。休会手続きや復会時期などの詳細については、通われている教室のスタッフまでお気軽にお問い合わせください。,5258,성공,,2025-07-27T13:50:29.904Z,"[{""type"":""main"",""text"":""3.14では、入院などのやむを得ない事情による一時的な受講停止に柔軟に対応しており、回復後の学習再開もスムーズに行えるシステムを整えています。"",""attachment"":null},{""type"":""sub"",""text"":""🏥 休会・復会について\n・入院による休会は可能（事前連絡が必要）\n・休会中は授業料が発生しません\n・復会時期は体調に合わせて相談可能\n・休会前の学習状況を考慮して復会後のカリキュラムを調整"",""attachment"":null},{""type"":""cta"",""text"":""ご回復後の学習再開についても安心してご相談ください。休会手続きや復会時期などの詳細については、通われている教室のスタッフまでお気軽にお問い合わせください。"",""attachment"":null}]"
13-2,User_S,Hyunse0001,general,来週の水曜日に退院します。授業は木曜日から受けることができます。,200,3.14では、前日までのご連絡で振替授業の対応が可能です。退院後の木曜日からの授業再開についても柔軟に対応させていただきます。,,安心して治療に専念していただき、木曜日からまたお待ちしております。ご不明な点がございましたら、お気軽に教室までご連絡ください。,6065,성공,,2025-07-27T13:50:48.048Z,"[{""type"":""main"",""text"":""3.14では、前日までのご連絡で振替授業の対応が可能です。退院後の木曜日からの授業再開についても柔軟に対応させていただきます。"",""attachment"":null},{""type"":""cta"",""text"":""安心して治療に専念していただき、木曜日からまたお待ちしております。ご不明な点がございましたら、お気軽に教室までご連絡ください。"",""attachment"":null}]"
14-1,User_S,Hyunse0001,general,6月16日から他の塾に転校して授業を受けることはできますか？,200,3.14では、前日までのご連絡をいただければ、振替授業の対応が可能です。ただし、他の塾への転校に関しては、事前にご相談いただく必要がございます。,,具体的な転校のご相談やお手続きについては、通われている教室のスタッフまでお気軽にご相談ください。お子様の学習環境の変更について、丁寧にご説明させていただきます。,3059,성공,,2025-07-27T13:50:52.109Z,"[{""type"":""main"",""text"":""3.14では、前日までのご連絡をいただければ、振替授業の対応が可能です。ただし、他の塾への転校に関しては、事前にご相談いただく必要がございます。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な転校のご相談やお手続きについては、通われている教室のスタッフまでお気軽にご相談ください。お子様の学習環境の変更について、丁寧にご説明させていただきます。"",""attachment"":null}]"
14-2,User_S,Hyunse0001,general,はい、他の地域に引っ越しします。,200,3.14では札幌市内に多数のスクールを展開しており、お引越し先の地域でも学習を継続していただける可能性が高いです。詳しい情報をお調べいたしますので、お引越し先の地域をお教えいただけますでしょうか。,,具体的な地域をお知らせいただければ、その地域の最寄りのスクールや通学可能なスクールについて、より詳しい情報をご案内させていただきます。,3784,성공,,2025-07-27T13:50:56.897Z,"[{""type"":""main"",""text"":""3.14では札幌市内に多数のスクールを展開しており、お引越し先の地域でも学習を継続していただける可能性が高いです。詳しい情報をお調べいたしますので、お引越し先の地域をお教えいただけますでしょうか。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な地域をお知らせいただければ、その地域の最寄りのスクールや通学可能なスクールについて、より詳しい情報をご案内させていただきます。"",""attachment"":null}]"
15,User_S,Hyunse0001,general,授業料の入金方法を案内してください,200,3.14の授業料のお支払い方法についてご案内いたします。,お支払い方法は、銀行口座からの自動引き落としとなっております。毎月26日（土日祝の場合は翌営業日）に、ご登録いただいた口座より引き落としさせていただきます。口座登録に関する詳細は、入会時にお渡しする書類をご確認ください。,ご不明な点がございましたら、お気軽にスクールまでお電話（0120-876-314）にてお問い合わせください。また、特別なご事情がある場合は、個別にご相談させていただきますので、スタッフまでお申し付けください。,4343,성공,,2025-07-27T13:51:02.245Z,"[{""type"":""main"",""text"":""3.14の授業料のお支払い方法についてご案内いたします。"",""attachment"":null},{""type"":""sub"",""text"":""お支払い方法は、銀行口座からの自動引き落としとなっております。毎月26日（土日祝の場合は翌営業日）に、ご登録いただいた口座より引き落としさせていただきます。口座登録に関する詳細は、入会時にお渡しする書類をご確認ください。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽にスクールまでお電話（0120-876-314）にてお問い合わせください。また、特別なご事情がある場合は、個別にご相談させていただきますので、スタッフまでお申し付けください。"",""attachment"":null}]"
16,User_S,Hyunse0001,general,銀行から振込をしても大丈夫ですか？,200,3.14では、銀行振込でのお支払いを承っております。安全で便利な決済方法の一つとして多くの保護者様にご利用いただいております。,,具体的なお振込方法や口座情報については、通塾時に詳しいご案内をさせていただきますので、お気軽に各校舎のスタッフまでお問い合わせください。,3125,성공,,2025-07-27T13:51:06.375Z,"[{""type"":""main"",""text"":""3.14では、銀行振込でのお支払いを承っております。安全で便利な決済方法の一つとして多くの保護者様にご利用いただいております。"",""attachment"":null},{""type"":""cta"",""text"":""具体的なお振込方法や口座情報については、通塾時に詳しいご案内をさせていただきますので、お気軽に各校舎のスタッフまでお問い合わせください。"",""attachment"":null}]"
17,User_S,Hyunse0001,general,インターネットバンキングで振込してもいいですか？,200,申し訳ございませんが、お支払い方法に関する具体的な情報を提供するには、どの校舎やコースについてのご質問かを教えていただく必要がございます。,校舎やコースをお知らせいただけましたら、より正確な情報をご案内させていただきます。,お手数ですが、通われている（または通いたい）校舎名やコース名をお教えいただけますでしょうか？,3753,성공,,2025-07-27T13:51:11.130Z,"[{""type"":""main"",""text"":""申し訳ございませんが、お支払い方法に関する具体的な情報を提供するには、どの校舎やコースについてのご質問かを教えていただく必要がございます。"",""attachment"":null},{""type"":""sub"",""text"":""校舎やコースをお知らせいただけましたら、より正確な情報をご案内させていただきます。"",""attachment"":null},{""type"":""cta"",""text"":""お手数ですが、通われている（または通いたい）校舎名やコース名をお教えいただけますでしょうか？"",""attachment"":null}]"
18,User_S,Hyunse0001,general,毎月の自動振替日はいつですか？,200,3.14では、毎月の授業料は27日に口座からの自動振替となっております。新規入会月は入会金と初月分の授業料を現金またはクレジットカードでお支払いいただきます。,,ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。教室探しのお手伝いもさせていただきます。,3607,성공,,2025-07-27T13:51:15.739Z,"[{""type"":""main"",""text"":""3.14では、毎月の授業料は27日に口座からの自動振替となっております。新規入会月は入会金と初月分の授業料を現金またはクレジットカードでお支払いいただきます。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お気軽に各教室のスタッフまでお問い合わせください。教室探しのお手伝いもさせていただきます。"",""attachment"":null}]"
19,User_S,Hyunse0001,general,自動振替日が週末の場合、いつ引き落としされますか？,200,3.14では、自動振替日が土曜日・日曜日・祝日の場合、翌営業日（平日）に引き落としが行われます。,,ご不明な点がございましたら、お通いの教室のスタッフまでお気軽にお問い合わせください。また、引き落とし口座の変更などについてもスタッフにご相談いただけます。,4252,성공,,2025-07-27T13:51:20.994Z,"[{""type"":""main"",""text"":""3.14では、自動振替日が土曜日・日曜日・祝日の場合、翌営業日（平日）に引き落としが行われます。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、お通いの教室のスタッフまでお気軽にお問い合わせください。また、引き落とし口座の変更などについてもスタッフにご相談いただけます。"",""attachment"":null}]"
20,User_S,Hyunse0001,general,授業料は前払い制ですか？,200,3.14では、授業料は月謝制で前払い制となっております。月初めに翌月分の授業料をお支払いいただく形となります。,,ご不明な点がございましたら、具体的な料金プランや支払い方法について、お気軽にお近くの教室までお問い合わせください。,4092,성공,,2025-07-27T13:51:26.090Z,"[{""type"":""main"",""text"":""3.14では、授業料は月謝制で前払い制となっております。月初めに翌月分の授業料をお支払いいただく形となります。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、具体的な料金プランや支払い方法について、お気軽にお近くの教室までお問い合わせください。"",""attachment"":null}]"
21,User_S,Hyunse0001,general,今月の授業料はいくらですか？,200,申し訳ございませんが、具体的な授業料の情報が見つかりませんでした。3.14では、コースや学年によって授業料が異なります。,,お客様に最適なコースと正確な授業料をご案内させていただきたいので、お電話やメール、または直接教室へお問い合わせいただけますと幸いです。,7522,성공,,2025-07-27T13:51:34.616Z,"[{""type"":""main"",""text"":""申し訳ございませんが、具体的な授業料の情報が見つかりませんでした。3.14では、コースや学年によって授業料が異なります。"",""attachment"":null},{""type"":""cta"",""text"":""お客様に最適なコースと正確な授業料をご案内させていただきたいので、お電話やメール、または直接教室へお問い合わせいただけますと幸いです。"",""attachment"":null}]"
22,User_S,Hyunse0001,general,来月の授業料は何ヶ月分支払う必要がありますか？,200,3.14では、授業料のお支払いは毎月1ヶ月分となっております。前月末までにその月分の授業料をお支払いいただく形となります。,,ご不安な点やご不明な点がございましたら、教室のスタッフまでお気軽にご相談ください。各教室で丁寧にご説明させていただきます。,3050,성공,,2025-07-27T13:51:38.672Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いは毎月1ヶ月分となっております。前月末までにその月分の授業料をお支払いいただく形となります。"",""attachment"":null},{""type"":""cta"",""text"":""ご不安な点やご不明な点がございましたら、教室のスタッフまでお気軽にご相談ください。各教室で丁寧にご説明させていただきます。"",""attachment"":null}]"
23-1,User_S,Hyunse0001,general,授業料の領収書発行方法を案内してください,200,3.14では、授業料のお支払いに対する領収書は、ご要望に応じて発行させていただいております。教室スタッフにお申し付けいただければ、その場で発行が可能です。,,ご不明な点がございましたら、通われている教室のスタッフまでお気軽にお声がけください。教室での手続きについては、できる限り丁寧にご案内させていただきます。,3733,성공,,2025-07-27T13:51:43.407Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いに対する領収書は、ご要望に応じて発行させていただいております。教室スタッフにお申し付けいただければ、その場で発行が可能です。"",""attachment"":null},{""type"":""cta"",""text"":""ご不明な点がございましたら、通われている教室のスタッフまでお気軽にお声がけください。教室での手続きについては、できる限り丁寧にご案内させていただきます。"",""attachment"":null}]"
23-2,User_S,Hyunse0002,general,最近3ヶ月間の授業料の領収書が必要です。,200,3.14では、授業料のお支払いは原則として口座引き落としとなっており、教室での現金取り扱いは行っておりません。,領収書につきましては、お通いの教室にて発行手続きが可能です。必要な月をお伝えいただければ、スタッフが対応させていただきます。,まずはお通いの教室へご連絡いただき、領収書が必要な期間をお伝えください。教室のスタッフが丁寧にご対応させていただきます。,3637,성공,,2025-07-27T13:51:48.046Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いは原則として口座引き落としとなっており、教室での現金取り扱いは行っておりません。"",""attachment"":null},{""type"":""sub"",""text"":""領収書につきましては、お通いの教室にて発行手続きが可能です。必要な月をお伝えいただければ、スタッフが対応させていただきます。"",""attachment"":null},{""type"":""cta"",""text"":""まずはお通いの教室へご連絡いただき、領収書が必要な期間をお伝えください。教室のスタッフが丁寧にご対応させていただきます。"",""attachment"":null}]"
24,User_S,Hyunse0001,general,授業料の自動振替が可能な銀行を案内してください,200,3.14では、授業料のお支払いは口座振替でご対応いただけます。主要な都市銀行、地方銀行、ゆうちょ銀行、信用金庫などほとんどの金融機関でご利用可能です。,,お手続きについては、入会時に口座振替依頼書をご記入いただくだけで簡単に設定が完了いたします。詳しい手続き方法や対応金融機関の一覧については、お近くの教室スタッフまでお気軽にお問い合わせください。,5130,성공,,2025-07-27T13:51:54.177Z,"[{""type"":""main"",""text"":""3.14では、授業料のお支払いは口座振替でご対応いただけます。主要な都市銀行、地方銀行、ゆうちょ銀行、信用金庫などほとんどの金融機関でご利用可能です。"",""attachment"":null},{""type"":""cta"",""text"":""お手続きについては、入会時に口座振替依頼書をご記入いただくだけで簡単に設定が完了いたします。詳しい手続き方法や対応金融機関の一覧については、お近くの教室スタッフまでお気軽にお問い合わせください。"",""attachment"":null}]"
25,User_S,Hyunse0001,general,塾の授業はどのように進行されるか紹介してください,200,3.14では、1回50分の授業で、生徒一人ひとりに合わせた個別カリキュラムを提供しています。授業では主体的な学習習慣の確立を重視し、生徒が自ら考え学ぶ力を養成します。,質問や不明点があれば、授業中はもちろん、自習時間中でも講師に相談することができます。担任と講師によるダブル指導体制で、きめ細かなサポートを受けることができます。,まずは無料の体験授業で、実際の授業の雰囲気を体験してみることをおすすめします。お気軽にお近くの教室までお問い合わせください。,5988,성공,,2025-07-27T13:52:01.169Z,"[{""type"":""main"",""text"":""3.14では、1回50分の授業で、生徒一人ひとりに合わせた個別カリキュラムを提供しています。授業では主体的な学習習慣の確立を重視し、生徒が自ら考え学ぶ力を養成します。"",""attachment"":null},{""type"":""sub"",""text"":""質問や不明点があれば、授業中はもちろん、自習時間中でも講師に相談することができます。担任と講師によるダブル指導体制で、きめ細かなサポートを受けることができます。"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料の体験授業で、実際の授業の雰囲気を体験してみることをおすすめします。お気軽にお近くの教室までお問い合わせください。"",""attachment"":null}]"
26-1,User_S,Hyunse0001,general,塾のカリキュラムはどのようになっていますか？,200,3.14では、生徒一人ひとりに合わせた自分専用カリキュラムを作成し、担任と講師によるダブル指導体制で学習をサポートしています。,🎓 コース別の特徴・幼児：グローバルスキルと脳力開発に重点・小学生：個別指導と探究型学習を提供・中学生：担任制と定額受け放題の授業・高校生：現役合格に向けた専門的な指導・オンライン：遠隔でも質の高い個別指導,詳しい各コースの内容や特徴について知りたい場合は、具体的な学年やご希望の学習スタイルをお聞かせください。ご要望に合わせて最適なコースをご案内させていただきます。,6319,성공,,2025-07-27T13:52:08.489Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりに合わせた自分専用カリキュラムを作成し、担任と講師によるダブル指導体制で学習をサポートしています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 コース別の特徴\n・幼児：グローバルスキルと脳力開発に重点\n・小学生：個別指導と探究型学習を提供\n・中学生：担任制と定額受け放題の授業\n・高校生：現役合格に向けた専門的な指導\n・オンライン：遠隔でも質の高い個別指導"",""attachment"":null},{""type"":""cta"",""text"":""詳しい各コースの内容や特徴について知りたい場合は、具体的な学年やご希望の学習スタイルをお聞かせください。ご要望に合わせて最適なコースをご案内させていただきます。"",""attachment"":null}]"
26-2,User_S,Hyunse0001,general,塾のカリキュラムはどのようになっていますか？,200,3.14では、生徒一人ひとりに合わせた完全オーダーメイドのカリキュラムを提供しています。担任講師と教科講師が連携しながら、個々の目標や学力に応じた最適な学習計画を作成し、AIも活用した効果的な指導を行っています。,🎓 コース別カリキュラム・幼児：探究型学習と英語指導を重視した脳力開発コース・小学生：個別指導による基礎学力と学習習慣の確立・中学生：担任制による親身な指導と定額制の受け放題システム・高校生：現役合格に向けた専門的な受験指導とハイレベル個別授業,詳しい内容やご希望のコースについて、お気軽に各校舎までお問い合わせください。無料の体験授業もご用意しております。,7199,성공,,2025-07-27T13:52:16.691Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりに合わせた完全オーダーメイドのカリキュラムを提供しています。担任講師と教科講師が連携しながら、個々の目標や学力に応じた最適な学習計画を作成し、AIも活用した効果的な指導を行っています。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 コース別カリキュラム\n・幼児：探究型学習と英語指導を重視した脳力開発コース\n・小学生：個別指導による基礎学力と学習習慣の確立\n・中学生：担任制による親身な指導と定額制の受け放題システム\n・高校生：現役合格に向けた専門的な受験指導とハイレベル個別授業"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容やご希望のコースについて、お気軽に各校舎までお問い合わせください。無料の体験授業もご用意しております。"",""attachment"":null}]"
