테스트번호,유저역할,유저아이디,테스트카테고리,메세지,응답결과_스테이터스코드,main버블,sub버블,cta버블,응답시간(ms),성공여부,검증오류,실행시간,응답결과_바디
INFANT-011,User_S,faq_test_user,授業・カリキュラム,保育園や幼稚園と両立できますか？,200,3.14のLeptonコースは、保育園や幼稚園に通いながら学習できるよう、柔軟な時間割を設定しています。年長児からのお子様に対応しており、お子様の生活リズムに合わせて通塾スケジュールを組むことが可能です。,,ご希望の通塾スケジュールについて、フリーダイヤル（0120-876-314）にてご相談を承っております。お気軽にお問い合わせください。,10470,성공,,2025-07-27T20:28:02.457Z,"[{""type"":""main"",""text"":""3.14のLeptonコースは、保育園や幼稚園に通いながら学習できるよう、柔軟な時間割を設定しています。年長児からのお子様に対応しており、お子様の生活リズムに合わせて通塾スケジュールを組むことが可能です。"",""attachment"":null},{""type"":""cta"",""text"":""ご希望の通塾スケジュールについて、フリーダイヤル（0120-876-314）にてご相談を承っております。お気軽にお問い合わせください。"",""attachment"":null}]"
INFANT-012,User_S,faq_test_user,施設・環境,おむつが外れていなくても大丈夫ですか？,200,3.14では、おむつが外れていないお子様も受け入れております。お子様の発達状況に合わせて、無理のない形で学習を進めていきます。,,詳しい対応方法や、お子様の状況に応じたカリキュラムについてお知りになりたい場合は、お気軽にお近くのスクールへお問い合わせください。スタッフが丁寧にご説明させていただきます。,5504,성공,,2025-07-27T20:27:57.491Z,"[{""type"":""main"",""text"":""3.14では、おむつが外れていないお子様も受け入れております。お子様の発達状況に合わせて、無理のない形で学習を進めていきます。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい対応方法や、お子様の状況に応じたカリキュラムについてお知りになりたい場合は、お気軽にお近くのスクールへお問い合わせください。スタッフが丁寧にご説明させていただきます。"",""attachment"":null}]"
INFANT-013,User_S,faq_test_user,講師・指導,どんな先生が担当しますか？,200,3.14では、東京大学、京都大学、北海道大学などの合格実績を持つ、優れた指導力と人間性を兼ね備えた精鋭講師陣が指導を担当しています。各校舎には、生徒一人ひとりの可能性を信じ、学習面だけでなく人間的成長もサポートする熱意ある室長が配置されています。,具体例として、白石ガーデンプレイス校の中村久理子室長は生徒の可能性を信じる最大の応援者として、琴似スクールの安川紘司室長は未来を強く生き抜く在り方を伝える師として、手稲スクールの横山珠里室長は将来の財産となる力を育てる指導者として、それぞれ生徒の成長をサポートしています。,詳しい各校舎の情報や、実際の指導内容についてもご案内できますので、お気軽にお申し付けください。,8320,성공,,2025-07-27T20:28:00.306Z,"[{""type"":""main"",""text"":""3.14では、東京大学、京都大学、北海道大学などの合格実績を持つ、優れた指導力と人間性を兼ね備えた精鋭講師陣が指導を担当しています。各校舎には、生徒一人ひとりの可能性を信じ、学習面だけでなく人間的成長もサポートする熱意ある室長が配置されています。"",""attachment"":null},{""type"":""sub"",""text"":""具体例として、白石ガーデンプレイス校の中村久理子室長は生徒の可能性を信じる最大の応援者として、琴似スクールの安川紘司室長は未来を強く生き抜く在り方を伝える師として、手稲スクールの横山珠里室長は将来の財産となる力を育てる指導者として、それぞれ生徒の成長をサポートしています。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい各校舎の情報や、実際の指導内容についてもご案内できますので、お気軽にお申し付けください。"",""attachment"":null}]"
INFANT-014,User_S,faq_test_user,授業・カリキュラム,欠席時のフォローはありますか？,200,体調不良やご都合による欠席には、振替対応や内容の補完をご案内しています🙆‍♀️,学びのペースが崩れないよう、個別にしっかりフォローいたします！,欠席時の対応について詳しく知りたい方は、お気軽にご相談ください😊,137,성공,,2025-07-27T20:27:52.124Z,"[{""type"":""main"",""text"":""体調不良やご都合による欠席には、振替対応や内容の補完をご案内しています🙆‍♀️"",""attachment"":null},{""type"":""sub"",""text"":""学びのペースが崩れないよう、個別にしっかりフォローいたします！"",""attachment"":null},{""type"":""cta"",""text"":""欠席時の対応について詳しく知りたい方は、お気軽にご相談ください😊"",""attachment"":null}]"
INFANT-015,User_S,faq_test_user,料金・費用,幼児コースの料金はいくらですか？,200,幼児コースはお選びいただくプログラムによって料金が異なります🏫,"- 英語教室「Lepton」: 月額 9,790円 ~ - 思考力育成「パズル道場」: 月額 6,600円 ~- ロボット製作講座「crefas」：月額 9,750円 ~",それぞれの内容や教材費については、無料体験や資料請求で詳しくご案内しております😊,91,성공,,2025-07-27T20:27:52.078Z,"[{""type"":""main"",""text"":""幼児コースはお選びいただくプログラムによって料金が異なります🏫"",""attachment"":null},{""type"":""sub"",""text"":""- 英語教室「Lepton」: 月額 9,790円 ~ \n- 思考力育成「パズル道場」: 月額 6,600円 ~\n- ロボット製作講座「crefas」：月額 9,750円 ~"",""attachment"":null},{""type"":""cta"",""text"":""それぞれの内容や教材費については、無料体験や資料請求で詳しくご案内しております😊"",""attachment"":null}]"
ELEM-001,User_S,faq_test_user,授業・カリキュラム,どんな学習内容を扱っていますか？,200,3.14では、幼児から高校生まで幅広い年齢層に対応し、個別指導を中心とした学習プログラムを提供しています。各コースでは生徒一人ひとりに合わせた専用カリキュラムを作成し、主体的な学習習慣の確立を目指します。,🎓 コース別特徴・幼児：グローバルスキルと探究型学習・小学生：個別指導と脳力開発・中学生：担任と講師によるダブル指導体制・高校生：大学受験対策と個別指導・オンライン：双方向指導で遠隔でも質の高い学習,詳しい内容については、お子様の学年や目標に応じて、最適なコースをご提案させていただきますので、お気軽にご相談ください。,8258,성공,,2025-07-27T20:28:11.717Z,"[{""type"":""main"",""text"":""3.14では、幼児から高校生まで幅広い年齢層に対応し、個別指導を中心とした学習プログラムを提供しています。各コースでは生徒一人ひとりに合わせた専用カリキュラムを作成し、主体的な学習習慣の確立を目指します。"",""attachment"":null},{""type"":""sub"",""text"":""🎓 コース別特徴\n・幼児：グローバルスキルと探究型学習\n・小学生：個別指導と脳力開発\n・中学生：担任と講師によるダブル指導体制\n・高校生：大学受験対策と個別指導\n・オンライン：双方向指導で遠隔でも質の高い学習"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容については、お子様の学年や目標に応じて、最適なコースをご提案させていただきますので、お気軽にご相談ください。"",""attachment"":null}]"
ELEM-002,User_S,faq_test_user,授業・カリキュラム,学校の授業の先取りはできますか？,200,3.14では、生徒一人ひとりの学習進度や目標に合わせて、学校の授業の先取り学習にも柔軟に対応しています。個別カリキュラムを組むことで、学校の授業より先の内容も無理なく学習することができます。,,ご興味がありましたら、お近くの教室の詳しい情報や、実際のカリキュラム例などもご案内できますので、お気軽にご相談ください。,3906,성공,,2025-07-27T20:28:07.365Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学習進度や目標に合わせて、学校の授業の先取り学習にも柔軟に対応しています。個別カリキュラムを組むことで、学校の授業より先の内容も無理なく学習することができます。"",""attachment"":null},{""type"":""cta"",""text"":""ご興味がありましたら、お近くの教室の詳しい情報や、実際のカリキュラム例などもご案内できますので、お気軽にご相談ください。"",""attachment"":null}]"
ELEM-003,User_S,faq_test_user,進路・受験,中学受験に対応していますか？,200,3.14は高校生向けの個別指導塾となっており、中学受験コースは開講しておりません。主に高校生の大学受験指導に特化したサービスを提供しています。,,ご質問ありがとうございます。中学受験についての詳しい情報をお求めの場合は、お近くの中学受験専門の学習塾にお問い合わせいただくことをお勧めいたします。,5533,성공,,2025-07-27T20:28:08.993Z,"[{""type"":""main"",""text"":""3.14は高校生向けの個別指導塾となっており、中学受験コースは開講しておりません。主に高校生の大学受験指導に特化したサービスを提供しています。"",""attachment"":null},{""type"":""cta"",""text"":""ご質問ありがとうございます。中学受験についての詳しい情報をお求めの場合は、お近くの中学受験専門の学習塾にお問い合わせいただくことをお勧めいたします。"",""attachment"":null}]"
ELEM-004,User_S,faq_test_user,授業・カリキュラム,宿題は出ますか？,200,3.14では、生徒一人一人の学習進度や目標に合わせて、適切な宿題を提供しています。宿題は単なる課題ではなく、授業の理解を深め、学習習慣を身につけるための大切なツールとして活用されています。,,宿題の量や内容は、生徒さんの学年や受講しているコースによって異なりますので、具体的なコースについて詳しく知りたい場合は、お気軽にお申し付けください。,4014,성공,,2025-07-27T20:28:07.474Z,"[{""type"":""main"",""text"":""3.14では、生徒一人一人の学習進度や目標に合わせて、適切な宿題を提供しています。宿題は単なる課題ではなく、授業の理解を深め、学習習慣を身につけるための大切なツールとして活用されています。"",""attachment"":null},{""type"":""cta"",""text"":""宿題の量や内容は、生徒さんの学年や受講しているコースによって異なりますので、具体的なコースについて詳しく知りたい場合は、お気軽にお申し付けください。"",""attachment"":null}]"
ELEM-005,User_S,faq_test_user,講師・指導,勉強が苦手な子でも大丈夫ですか？,200,3.14では、勉強が苦手な生徒さん一人一人に寄り添った指導を心がけています。特に室長の広川先生は「苦手なものを克服することで自信がつき、前向きに行動できるようになる」という考えのもと、生徒さんの成長をサポートしています。,,ぜひ一度、無料の体験授業にお越しください。実際の授業の雰囲気を感じていただきながら、お子様に合った学習プランについてご相談させていただきます。,4528,성공,,2025-07-27T20:28:07.988Z,"[{""type"":""main"",""text"":""3.14では、勉強が苦手な生徒さん一人一人に寄り添った指導を心がけています。特に室長の広川先生は「苦手なものを克服することで自信がつき、前向きに行動できるようになる」という考えのもと、生徒さんの成長をサポートしています。"",""attachment"":null},{""type"":""cta"",""text"":""ぜひ一度、無料の体験授業にお越しください。実際の授業の雰囲気を感じていただきながら、お子様に合った学習プランについてご相談させていただきます。"",""attachment"":null}]"
ELEM-006,User_S,faq_test_user,授業・カリキュラム,他の習い事と両立できますか？,200,3.14では、生徒一人ひとりの予定に合わせて柔軟に授業時間を設定できるため、部活動や習い事との両立が可能です。,時間割は基本的な枠がありますが、生徒さんのスケジュールに応じて相談可能です。また、急な予定変更の際は前日までの連絡で振替授業も利用できます。,まずはお気軽に、お近くの教室で具体的な時間調整についてご相談ください。生徒さんの状況に合わせて最適な学習スケジュールをご提案させていただきます。,4412,성공,,2025-07-27T20:28:17.130Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの予定に合わせて柔軟に授業時間を設定できるため、部活動や習い事との両立が可能です。"",""attachment"":null},{""type"":""sub"",""text"":""時間割は基本的な枠がありますが、生徒さんのスケジュールに応じて相談可能です。また、急な予定変更の際は前日までの連絡で振替授業も利用できます。"",""attachment"":null},{""type"":""cta"",""text"":""まずはお気軽に、お近くの教室で具体的な時間調整についてご相談ください。生徒さんの状況に合わせて最適な学習スケジュールをご提案させていただきます。"",""attachment"":null}]"
ELEM-007,User_S,faq_test_user,講師・指導,成績が伸びるまでにどのくらいかかりますか？,200,3.14では、生徒一人ひとりの学習状況や目標に合わせた個別指導を行っており、成績の伸びは個人差があります。基礎固めから着実に進めていくことで、多くの生徒さんは3ヶ月程度で手応えを感じ始めています。,,まずは無料の体験授業で、実際の授業の様子や学習方法についてご確認いただくことをおすすめします。また、担当講師と一緒に具体的な学習計画を立てることで、より効果的な学習を進めることができます。,4485,성공,,2025-07-27T20:28:17.204Z,"[{""type"":""main"",""text"":""3.14では、生徒一人ひとりの学習状況や目標に合わせた個別指導を行っており、成績の伸びは個人差があります。基礎固めから着実に進めていくことで、多くの生徒さんは3ヶ月程度で手応えを感じ始めています。"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料の体験授業で、実際の授業の様子や学習方法についてご確認いただくことをおすすめします。また、担当講師と一緒に具体的な学習計画を立てることで、より効果的な学習を進めることができます。"",""attachment"":null}]"
ELEM-008,User_S,faq_test_user,授業・カリキュラム,学年に応じたコースがありますか？,200,3.14では、幼児から高校生まで、年齢や目的に応じた多様なコースを用意しています。幼児向けの東京ISや脳力開発コース、小中学生向けの個別指導、高校生向けの3.14ハイスクールやBrainsGymなど、それぞれの段階に最適な学習プログラムを提供しています。,各コースの特徴は以下の通りです：🎓 幼児：グローバルスキルや脳力開発に重点🏫 小学生：個別指導と探究型学習で基礎力養成📚 中学生：定額制で科目数無制限の個別指導✏️ 高校生：大学受験対策と個別カリキュラム,詳しいコース内容や料金については、お気軽に各教室までお問い合わせください。お子様の目標や学習状況に合わせて、最適なコースをご提案させていただきます。,7455,성공,,2025-07-27T20:28:20.173Z,"[{""type"":""main"",""text"":""3.14では、幼児から高校生まで、年齢や目的に応じた多様なコースを用意しています。幼児向けの東京ISや脳力開発コース、小中学生向けの個別指導、高校生向けの3.14ハイスクールやBrainsGymなど、それぞれの段階に最適な学習プログラムを提供しています。"",""attachment"":null},{""type"":""sub"",""text"":""各コースの特徴は以下の通りです：\n🎓 幼児：グローバルスキルや脳力開発に重点\n🏫 小学生：個別指導と探究型学習で基礎力養成\n📚 中学生：定額制で科目数無制限の個別指導\n✏️ 高校生：大学受験対策と個別カリキュラム"",""attachment"":null},{""type"":""cta"",""text"":""詳しいコース内容や料金については、お気軽に各教室までお問い合わせください。お子様の目標や学習状況に合わせて、最適なコースをご提案させていただきます。"",""attachment"":null}]"
ELEM-009,User_S,faq_test_user,料金・費用,教材費は別途かかりますか？,200,3.14では、教材費は基本的に月謝に含まれており、別途費用は発生いたしません。通常の授業で使用するテキストや問題集などの教材は全て月謝に含まれています。,,ただし、特別講座や特定のコースでは、別途教材費が必要となる場合もございますので、詳しい内容については、お近くの教室にお問い合わせいただければと思います。,3471,성공,,2025-07-27T20:28:16.189Z,"[{""type"":""main"",""text"":""3.14では、教材費は基本的に月謝に含まれており、別途費用は発生いたしません。通常の授業で使用するテキストや問題集などの教材は全て月謝に含まれています。"",""attachment"":null},{""type"":""cta"",""text"":""ただし、特別講座や特定のコースでは、別途教材費が必要となる場合もございますので、詳しい内容については、お近くの教室にお問い合わせいただければと思います。"",""attachment"":null}]"
ELEM-010,User_S,faq_test_user,料金・費用,兄弟で通う場合の割引はありますか？,200,3.14では、兄弟姉妹で通塾される場合、2人目以降のお子様の月謝を10%割引させていただいております。この割引制度により、ご家族の教育費の負担を少しでも軽減できるよう配慮しております。,,ご兄弟での入塾をご検討の場合は、お気軽に各教室までお問い合わせください。具体的な料金プランや時間割の調整など、ご家族のニーズに合わせてご提案させていただきます。,3701,성공,,2025-07-27T20:28:16.419Z,"[{""type"":""main"",""text"":""3.14では、兄弟姉妹で通塾される場合、2人目以降のお子様の月謝を10%割引させていただいております。この割引制度により、ご家族の教育費の負担を少しでも軽減できるよう配慮しております。"",""attachment"":null},{""type"":""cta"",""text"":""ご兄弟での入塾をご検討の場合は、お気軽に各教室までお問い合わせください。具体的な料金プランや時間割の調整など、ご家族のニーズに合わせてご提案させていただきます。"",""attachment"":null}]"
ELEM-011,User_S,faq_test_user,授業・カリキュラム,通塾の曜日は選べますか？,200,3.14では、コースによって通塾曜日の選択方法が異なりますので、具体的な情報をご案内させていただきます。,🗓️ 通塾曜日について：・個別指導コース：生徒様のご希望に合わせて曜日・時間を選択可能・集団指導コース：各学年・科目ごとに設定された曜日からお選びいただけます・Leptonコース：複数の曜日から選択可能・パズル道場DX：開室時間内であれば自由に通塾可能,詳しい時間割や空き状況については、お気軽にお電話（0120-876-314）でお問い合わせください。また、無料体験授業もご用意しておりますので、実際の雰囲気を体験していただくことをおすすめいたします。,5448,성공,,2025-07-27T20:28:26.624Z,"[{""type"":""main"",""text"":""3.14では、コースによって通塾曜日の選択方法が異なりますので、具体的な情報をご案内させていただきます。"",""attachment"":null},{""type"":""sub"",""text"":""🗓️ 通塾曜日について：\n・個別指導コース：生徒様のご希望に合わせて曜日・時間を選択可能\n・集団指導コース：各学年・科目ごとに設定された曜日からお選びいただけます\n・Leptonコース：複数の曜日から選択可能\n・パズル道場DX：開室時間内であれば自由に通塾可能"",""attachment"":null},{""type"":""cta"",""text"":""詳しい時間割や空き状況については、お気軽にお電話（0120-876-314）でお問い合わせください。また、無料体験授業もご用意しておりますので、実際の雰囲気を体験していただくことをおすすめいたします。"",""attachment"":null}]"
MIDDLE-001,User_S,faq_test_user,授業・カリキュラム,定期テスト対策はしてくれますか？,200,3.14では、定期テスト対策を重視しており、スタンダードコースとハイレベルコースの両方で、しっかりとした対策授業を実施しています。,🎯 テスト対策の特徴・学校の進度に合わせた計画的な対策・過去問分析による重要ポイントの把握・弱点補強と得意分野の伸長・個別カリキュラムによる効率的な学習,具体的な定期テスト対策の内容について、より詳しくお知りになりたい場合は、ぜひ無料の個別相談にてご説明させていただきます。お気軽にお問い合わせください。,7270,성공,,2025-07-27T20:28:28.446Z,"[{""type"":""main"",""text"":""3.14では、定期テスト対策を重視しており、スタンダードコースとハイレベルコースの両方で、しっかりとした対策授業を実施しています。"",""attachment"":null},{""type"":""sub"",""text"":""🎯 テスト対策の特徴\n・学校の進度に合わせた計画的な対策\n・過去問分析による重要ポイントの把握\n・弱点補強と得意分野の伸長\n・個別カリキュラムによる効率的な学習"",""attachment"":null},{""type"":""cta"",""text"":""具体的な定期テスト対策の内容について、より詳しくお知りになりたい場合は、ぜひ無料の個別相談にてご説明させていただきます。お気軽にお問い合わせください。"",""attachment"":null}]"
MIDDLE-002,User_S,faq_test_user,進路・受験,高校受験対策には対応していますか？,200,申し訳ございませんが、3.14では現在、高校生向けの「ハイスクールコース」を主に展開しており、中学生の高校受験対策については対応しておりません。,,ご要望に沿えず申し訳ございませんが、高校入学後の学習サポートについては、部活との両立や志望校対策など、充実したサポート体制を整えておりますので、お気軽にご相談ください。,6375,성공,,2025-07-27T20:28:27.551Z,"[{""type"":""main"",""text"":""申し訳ございませんが、3.14では現在、高校生向けの「ハイスクールコース」を主に展開しており、中学生の高校受験対策については対応しておりません。"",""attachment"":null},{""type"":""cta"",""text"":""ご要望に沿えず申し訳ございませんが、高校入学後の学習サポートについては、部活との両立や志望校対策など、充実したサポート体制を整えておりますので、お気軽にご相談ください。"",""attachment"":null}]"
MIDDLE-003,User_S,faq_test_user,講師・指導,通知表の成績を上げる指導はありますか？,200,3.14では、定期テスト対策を含む個別指導により、通知表の成績アップをサポートしています。担任と講師のダブル指導体制で、一人ひとりの課題に合わせた指導を行っています。,具体的な対策として 📚 定期テスト2週間前からの集中対策 📝 学校の課題や提出物のチェック 📖 学習習慣の定着支援 ✍️ 弱点補強と理解度確認 を実施しています。,まずは無料の体験授業で、お子様の現状と目標に合わせた学習プランをご提案させていただきます。お気軽にご相談ください。,7352,성공,,2025-07-27T20:28:28.528Z,"[{""type"":""main"",""text"":""3.14では、定期テスト対策を含む個別指導により、通知表の成績アップをサポートしています。担任と講師のダブル指導体制で、一人ひとりの課題に合わせた指導を行っています。"",""attachment"":null},{""type"":""sub"",""text"":""具体的な対策として 📚 定期テスト2週間前からの集中対策 📝 学校の課題や提出物のチェック 📖 学習習慣の定着支援 ✍️ 弱点補強と理解度確認 を実施しています。"",""attachment"":null},{""type"":""cta"",""text"":""まずは無料の体験授業で、お子様の現状と目標に合わせた学習プランをご提案させていただきます。お気軽にご相談ください。"",""attachment"":null}]"
MIDDLE-004,User_S,faq_test_user,授業・カリキュラム,部活動と両立できますか？,200,3.14では、部活動との両立を積極的にサポートしています。授業時間は基本的な時間割がありますが、部活動のスケジュールに合わせて柔軟に調整することが可能です。また、テスト前の追加授業や振替授業の制度もあり、生徒一人ひとりの予定に合わせた学習計画を立てることができます。,,具体的な時間調整やスケジュールについては、お近くの教室でご相談いただけます。まずはお気軽にご相談ください。,3857,성공,,2025-07-27T20:28:25.032Z,"[{""type"":""main"",""text"":""3.14では、部活動との両立を積極的にサポートしています。授業時間は基本的な時間割がありますが、部活動のスケジュールに合わせて柔軟に調整することが可能です。また、テスト前の追加授業や振替授業の制度もあり、生徒一人ひとりの予定に合わせた学習計画を立てることができます。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な時間調整やスケジュールについては、お近くの教室でご相談いただけます。まずはお気軽にご相談ください。"",""attachment"":null}]"
MIDDLE-005,User_S,faq_test_user,進路・受験,英検などの資格対策はありますか？,200,3.14のレプトンでは、英語4技能をバランスよく学べる個別指導型カリキュラムを提供しており、英検などの資格試験対策にも対応しています。,,具体的な資格試験対策の詳細については、お気軽に教室までお問い合わせください。資格の級や目標に合わせて、最適な学習プランをご提案させていただきます。,4855,성공,,2025-07-27T20:28:34.384Z,"[{""type"":""main"",""text"":""3.14のレプトンでは、英語4技能をバランスよく学べる個別指導型カリキュラムを提供しており、英検などの資格試験対策にも対応しています。"",""attachment"":null},{""type"":""cta"",""text"":""具体的な資格試験対策の詳細については、お気軽に教室までお問い合わせください。資格の級や目標に合わせて、最適な学習プランをご提案させていただきます。"",""attachment"":null}]"
